criterio,exponente,precision,tiempo (ticks)
vector residual,0.0,3.779849716480343,0.2992990000000004
vector residual,0.0,4.204845291061806,0.3021659999999997
vector residual,0.0,2.384914598609344,0.1627459999999994
vector residual,0.0,1.5677448636272286,0.14231400000000072
vector residual,0.0,6.4184323500644265,0.14162699999999973
vector residual,0.0,7.168155425917483,0.14179600000000026
vector residual,0.0,1.9864968405869066,0.16291499999999992
vector residual,0.0,1.8106625598416572,0.14283999999999963
vector residual,0.0,1.7614160489822053,0.14692499999999953
vector residual,0.0,2.035089802780725,0.1497250000000001
vector residual,0.7,6.264570568384216,0.1516409999999997
vector residual,0.7,11.85288166529997,0.17046600000000023
vector residual,0.7,14.339998722201114,0.15056500000000028
vector residual,0.7,16.680353432443567,0.17202499999999965
vector residual,0.7,6.865567874822495,0.1502390000000009
vector residual,0.7,21.723737868372737,0.17209500000000055
vector residual,0.7,27.11904960840463,0.17196200000000061
vector residual,0.7,21.771308631641176,0.17182499999999834
vector residual,0.7,6.2922950092850005,0.15050600000000003
vector residual,0.7,6.5702766523152345,0.17181800000000003
vector residual,1.4,121.91259365665418,0.22137799999999963
vector residual,1.4,84.63361033276156,0.19055599999999906
vector residual,1.4,56.469811812863355,0.1920560000000009
vector residual,1.4,114.50745876451482,0.18772700000000064
vector residual,1.4,137.55064136359687,0.1789719999999999
vector residual,1.4,34.89486228625816,0.16302299999999903
vector residual,1.4,35.89490137615319,0.1634790000000006
vector residual,1.4,73.21835775674843,0.20539799999999886
vector residual,1.4,32.94621523613709,0.18324800000000074
vector residual,1.4,26.515795215992597,0.1855569999999993
vector residual,2.1,713.4833297021307,0.21441399999999966
vector residual,2.1,203.84381426988938,0.2029879999999995
vector residual,2.1,284.47710733696334,0.26525
vector residual,2.1,845.6134836791904,0.1826679999999996
vector residual,2.1,232.29214412418233,0.18362000000000123
vector residual,2.1,458.19639885920384,0.22791800000000073
vector residual,2.1,165.71125183243342,0.1873869999999993
vector residual,2.1,174.572199682726,0.22159200000000112
vector residual,2.1,495.96456151528827,0.22407799999999867
vector residual,2.1,445.6550843474526,0.18298099999999984
vector residual,2.8,2199.432764425108,0.2311350000000001
vector residual,2.8,3043.6140094977454,0.23294699999999935
vector residual,2.8,3020.8909168292316,0.24480700000000155
vector residual,2.8,1198.0824641703528,0.22377000000000002
vector residual,2.8,1290.7269488927632,0.2235239999999994
vector residual,2.8,837.663893457444,0.22398600000000002
vector residual,2.8,1974.4173819483412,0.22211300000000023
vector residual,2.8,759.3824344206361,0.203282999999999
vector residual,2.8,1096.7603371776424,0.2035909999999994
vector residual,2.8,2243.7656796755286,0.24455599999999933
vector residual,3.5,6673.367622073039,0.20122299999999882
vector residual,3.5,6916.929365914849,0.19737699999999947
vector residual,3.5,19080.197311405387,0.24522899999999836
vector residual,3.5,11621.725759489558,0.24415200000000326
vector residual,3.5,12922.739093442155,0.24465700000000012
vector residual,3.5,3203.462951420996,0.2439089999999986
vector residual,3.5,10449.123499393754,0.24416599999999988
vector residual,3.5,16710.568165939265,0.2624100000000027
vector residual,3.5,6123.832565700179,0.24444999999999695
