id,k,alpha,time,acc,score
1,1100,700,0.4876221984666667,0.57,0.11399999999999999
2,1090,690,0.47110631605000003,0.58,0.11599999999999999
3,1090,710,0.4833852724666666,0.58,0.11599999999999999
4,1110,690,0.00995287204999992,0.54,0.10800000000000001
5,1110,710,0.010201456333333189,0.56,0.11200000000000002
6,1080,700,0.009913103566666592,0.57,0.11399999999999999
7,1080,720,0.4894101356833332,0.59,0.118
8,1100,720,0.010220342816666773,0.57,0.11399999999999999
9,1070,710,0.0102160522166668,0.59,0.118
10,1070,730,0.4981875907666667,0.58,0.11599999999999999
11,1090,730,0.01055987806666631,0.57,0.11399999999999999
