id,k,alpha,time,acc,score
1,800,20,0.11794543718333332,0.49,0.098
2,780,18,0.11091961338333332,0.48,0.096
3,780,22,0.1153512815666667,0.51,0.10200000000000001
4,820,18,0.0005539469499999801,0.49,0.098
5,820,22,0.0005960781000000045,0.52,0.10400000000000001
6,800,24,0.12661618299999997,0.54,0.10800000000000001
7,840,20,0.0005831087833333489,0.49,0.098
8,840,24,0.0006281475666665889,0.55,0.11000000000000001
9,820,26,0.12987915906666672,0.53,0.10600000000000001
10,860,22,0.0006498371333333826,0.54,0.10800000000000001
11,860,26,0.0006488921499999615,0.54,0.10800000000000001
