id,k,alpha,time,acc,score
1,800,1000,0.029887140883333056,0.57,0.11399999999999999
2,790,990,0.02989897776666718,0.58,0.11599999999999999
3,790,1010,0.030445604633333307,0.58,0.11599999999999999
4,810,990,0.02415296499999992,0.57,0.11399999999999999
5,810,1010,0.02428324583333392,0.58,0.11599999999999999
6,800,1020,0.03232502586666707,0.57,0.11399999999999999
7,820,1000,0.025435100533333827,0.6,0.12
8,820,1020,0.025534661683332162,0.58,0.11599999999999999
9,830,990,0.02221073048333248,0.6,0.12
10,830,1010,0.024563473750000262,0.59,0.118
