id,k,alpha,time,acc,score
1,76,250,0.2498509649500041,0.667410358565737,0.1334820717131474
2,70,225,0.1996024916500043,0.671394422310757,0.1342788844621514
3,70,275,0.3000888409500021,0.6696414342629482,0.13392828685258965
4,82,225,0.19870061168332995,0.6647011952191235,0.1329402390438247
5,82,275,0.29972894669999733,0.666613545816733,0.1333227091633466
6,64,200,0.1758856839166659,0.6731474103585657,0.13462948207171316
7,64,250,0.24025350736666648,0.671394422310757,0.1342788844621514
8,76,200,0.17619779775000097,0.670597609561753,0.1341195219123506
9,58,175,0.14808380468333174,0.6694820717131474,0.1338964143426295
10,58,225,0.20063276041666994,0.6734661354581674,0.13469322709163348
11,70,175,0.14828376035000018,0.6707569721115538,0.13415139442231078
12,52,200,0.17492772509999668,0.6731474103585657,0.13462948207171316
13,52,250,0.2386531262666646,0.6701195219123506,0.1340239043824701
