id,k,alpha,time,acc,score
1,400,70,3.890216444266667,0.56,0.11200000000000002
2,380,68,3.564850676283333,0.59,0.118
3,380,72,4.2345775023,0.59,0.118
4,420,68,0.0005937087833331134,0.57,0.11399999999999999
5,420,72,0.0006614636833338258,0.56,0.11200000000000002
6,360,70,0.0005910525999998602,0.6,0.12
7,360,74,4.198741503649999,0.59,0.118
8,400,74,0.0006665414833321393,0.56,0.11200000000000002
9,340,68,0.0005936972333320986,0.58,0.11599999999999999
10,340,72,0.0006401080999997551,0.62,0.124
11,320,70,0.0005793576666652219,0.57,0.11399999999999999
12,320,74,0.0006410461333340814,0.61,0.122
