id,k,alpha,time,acc,score
1,400,70,0.0012624247999989773,0.56,0.11200000000000002
2,380,68,0.0013493466666659516,0.59,0.118
3,380,72,0.001634938616666659,0.59,0.118
4,420,68,0.0009736201333339523,0.57,0.11399999999999999
5,420,72,0.0011643946166657315,0.56,0.11200000000000002
6,360,70,0.0012960620833344669,0.6,0.12
7,360,74,0.00156860568333362,0.59,0.118
8,400,74,0.0010583632499996535,0.56,0.11200000000000002
9,340,68,0.0008971948333339697,0.58,0.11599999999999999
10,340,72,0.001206295649999826,0.62,0.124
11,320,70,0.000889100833332653,0.57,0.11399999999999999
12,320,74,0.0012671909166670047,0.61,0.122
