id,k,alpha,time,acc,score
1,700,70,3.9067820392333332,0.58,0.11599999999999999
2,680,68,3.56812712635,0.57,0.11399999999999999
3,680,72,4.255866319233333,0.58,0.11599999999999999
4,720,68,0.0006766602833333005,0.57,0.11399999999999999
5,720,72,0.0007403215666670349,0.6,0.12
6,700,74,4.249656428066667,0.59,0.118
7,740,70,0.0006977878000005451,0.58,0.11599999999999999
8,740,74,0.0007548082166654997,0.62,0.124
9,720,76,4.67211077135,0.63,0.126
10,760,72,0.0007510575000007218,0.61,0.122
11,760,76,0.0007843744833356444,0.6,0.12
12,700,78,4.978571920333335,0.61,0.122
13,740,78,0.0007916249833328948,0.6,0.12
