id,k,alpha,time,acc,score
1,100,80,5.0866928681333325,0.54,0.10615934832294371
2,80,78,4.654155661166667,0.55,0.11000000000000001
3,80,82,5.225912680850001,0.56,0.10715831553253495
4,120,78,0.0005862292666658201,0.56,0.11200000000000002
5,120,82,0.0006425860166662763,0.57,0.11399999999999999
6,100,84,5.345531889633334,0.59,0.11037255266294367
7,140,80,0.0006096682166685241,0.58,0.11599999999999999
8,140,84,0.0006667702499991416,0.59,0.118
9,120,86,5.8935307967166635,0.54,0.09162588923788074
10,160,82,0.0006513480666664388,0.61,0.122
11,160,86,0.000692639283333089,0.62,0.124
12,140,88,5.8975576413,0.61,0.10343264739427584
13,180,84,0.0006796760666664644,0.62,0.124
14,180,88,0.0007142216333325753,0.62,0.124
