id,k,alpha,time,acc,score
1,1683,260,0.005837772716666715,0.63,0.126
2,1682,259,0.006079794566666881,0.64,0.128
3,1682,261,0.006204206533333452,0.64,0.128
4,1684,259,0.004538645366666098,0.64,0.128
5,1684,261,0.005094567566665849,0.64,0.128
6,1683,262,0.006123067100000412,0.64,0.128
7,1685,260,0.004517911249999429,0.63,0.126
8,1685,262,0.004600958100000222,0.65,0.13
9,1684,263,0.0063199427000000695,0.64,0.128
10,1686,261,0.005008924216666818,0.64,0.128
11,1686,263,0.004949226216666602,0.64,0.128
