id,k,alpha,time,acc,score
1,700,800,0.5338589453333334,0.56,0.11200000000000002
2,690,790,0.5419942711166669,0.57,0.11399999999999999
3,690,810,0.5443427310333334,0.56,0.11200000000000002
4,710,790,0.011102024216666706,0.56,0.11200000000000002
5,710,810,0.01133995566666665,0.57,0.11399999999999999
6,700,820,0.5614797799833331,0.58,0.11599999999999999
7,720,800,0.011071001816666618,0.57,0.11399999999999999
8,720,820,0.011329989116666658,0.57,0.11399999999999999
9,690,830,0.5629939633500001,0.56,0.11200000000000002
10,710,830,0.011652594449999753,0.58,0.11599999999999999
