id,k,alpha,time,acc,score
1,300,50,0.15744299056666666,0.52,0.10400000000000001
2,280,48,0.1473515562,0.53,0.10600000000000001
3,280,52,0.15732347326666662,0.53,0.10600000000000001
4,320,48,0.0007660934333332629,0.52,0.10400000000000001
5,320,52,0.0008285607666666787,0.54,0.10800000000000001
6,300,54,0.16177965271666667,0.56,0.11200000000000002
7,340,50,0.0008185337000000459,0.54,0.10800000000000001
8,340,54,0.0008379065500000375,0.53,0.10600000000000001
9,280,56,0.16321407576666663,0.58,0.11599999999999999
10,320,56,0.0008480636000000411,0.55,0.11000000000000001
11,260,54,0.0008130071833334066,0.54,0.10800000000000001
12,260,58,0.16973732163333335,0.58,0.11599999999999999
13,300,58,0.0008823921333333354,0.57,0.11399999999999999
