id,k,alpha,time,acc,score
1,600,70,0.17734296116666665,0.56,0.11200000000000002
2,580,68,0.17827059914999996,0.56,0.11200000000000002
3,580,72,0.18259895383333327,0.57,0.11399999999999999
4,620,68,0.0011085566833332432,0.58,0.11599999999999999
5,620,72,0.0011564165999999431,0.58,0.11599999999999999
6,600,74,0.17872521585000006,0.59,0.118
7,640,70,0.0011562975166666452,0.58,0.11599999999999999
8,640,74,0.001209968883333327,0.58,0.11599999999999999
9,580,76,0.18025700251666663,0.59,0.118
10,620,76,0.0012015134166666996,0.59,0.118
