id,k,alpha,time,acc,score
1,49,18,12.653527665899999,0.4838709677419355,0.03824000551608384
2,1,2,0.02276388724999947,0.4838709677419355,0.0967741935483871
3,17,2,7.238033333578642e-06,0.4838709677419355,0.0967741935483871
4,1,50,0.8758288480499989,0.3225806451612903,0.06451612903225806
5,17,50,1.193585000009989e-05,0.4838709677419355,0.0967741935483871
6,1,34,1.7116878402666658,0.2903225806451613,0.05806451612903226
7,33,50,1.4540916667253139e-05,0.4838709677419355,0.0967741935483871
8,33,2,7.431333333821991e-06,0.4838709677419355,0.0967741935483871
9,17,34,8.64368333282073e-06,0.4838709677419355,0.0967741935483871
10,17,18,6.061999999928957e-06,0.4838709677419355,0.0967741935483871
11,3,4,0.21179869521666697,0.41935483870967744,0.08387096774193549
12,15,48,0.858791495666668,0.4838709677419355,0.0967741935483871
13,15,52,0.9937486710666671,0.4838709677419355,0.0967741935483871
14,19,48,1.4646333333227328e-05,0.4838709677419355,0.0967741935483871
15,19,52,1.2804950002494781e-05,0.4838709677419355,0.0967741935483871
16,15,4,8.470083332667856e-06,0.4838709677419355,0.0967741935483871
17,19,4,8.009166667003834e-06,0.43548387096774194,0.08709677419354839
18,31,4,8.11658333456459e-06,0.4838709677419355,0.0967741935483871
19,35,4,8.733716667090145e-06,0.4838709677419355,0.0967741935483871
20,15,16,0.24149561119999893,0.4838709677419355,0.0967741935483871
21,15,20,0.2782596847499993,0.4838709677419355,0.0967741935483871
22,19,16,9.013049998429779e-06,0.4838709677419355,0.0967741935483871
23,19,20,7.805483335232566e-06,0.4838709677419355,0.0967741935483871
24,3,32,0.4712148129999984,0.46774193548387094,0.09354838709677418
25,3,36,0.5604654584333351,0.46774193548387094,0.09354838709677418
26,31,48,9.97308333505013e-06,0.4838709677419355,0.0967741935483871
27,31,52,1.0042600001725077e-05,0.4838709677419355,0.0967741935483871
28,35,48,9.331299997938913e-06,0.4838709677419355,0.0967741935483871
29,35,52,9.38298333039711e-06,0.4838709677419355,0.0967741935483871
30,47,16,7.3605166676316e-06,0.4838709677419355,0.0967741935483871
31,47,20,8.58449999820247e-06,0.4838709677419355,0.0967741935483871
32,51,16,7.614583334240403e-06,0.4838709677419355,0.0967741935483871
33,51,20,8.185883333074647e-06,0.4838709677419355,0.0967741935483871
34,15,32,7.482899998952538e-06,0.4838709677419355,0.0967741935483871
35,15,36,7.977299996279422e-06,0.4838709677419355,0.0967741935483871
36,19,32,8.045016666831847e-06,0.4838709677419355,0.0967741935483871
37,19,36,7.966500000596473e-06,0.4838709677419355,0.0967741935483871
38,3,48,6.9029499968564775e-06,0.4838709677419355,0.0967741935483871
39,3,52,7.387783333948997e-06,0.45161290322580644,0.09032258064516129
40,33,54,0.606784394416665,0.4838709677419355,0.0967741935483871
41,37,50,1.0088383332155597e-05,0.4838709677419355,0.0967741935483871
42,37,54,9.499916666300124e-06,0.4838709677419355,0.0967741935483871
43,45,14,0.12189051776666701,0.4838709677419355,0.0967741935483871
44,45,18,5.858516666042609e-06,0.4838709677419355,0.0967741935483871
45,49,14,7.035283332849455e-06,0.4838709677419355,0.0967741935483871
46,45,22,0.3263719629666639,0.4838709677419355,0.0967741935483871
47,49,22,8.633133332599148e-06,0.4838709677419355,0.0967741935483871
48,53,14,7.969799999803703e-06,0.4838709677419355,0.0967741935483871
49,53,18,5.960100001326888e-06,0.4838709677419355,0.0967741935483871
50,53,22,7.841516666455087e-06,0.4838709677419355,0.0967741935483871
51,13,30,0.7115702143333351,0.4838709677419355,0.0967741935483871
52,13,34,8.856983333771495e-06,0.4838709677419355,0.0967741935483871
53,17,30,1.0166766666467689e-05,0.4838709677419355,0.0967741935483871
54,13,38,0.4403969952666671,0.4838709677419355,0.0967741935483871
55,17,38,8.694283330138812e-06,0.4838709677419355,0.0967741935483871
56,21,30,7.555216666332854e-06,0.4838709677419355,0.0967741935483871
57,21,34,7.8496333306551e-06,0.4838709677419355,0.0967741935483871
58,21,38,7.984983335518337e-06,0.4838709677419355,0.0967741935483871
59,5,46,0.480444704266669,0.4838709677419355,0.0967741935483871
60,5,50,8.054766666039843e-06,0.4838709677419355,0.0967741935483871
61,15,28,0.3051092090666657,0.4838709677419355,0.0967741935483871
62,19,28,7.3069833357900885e-06,0.4838709677419355,0.0967741935483871
63,23,28,7.262916669030043e-06,0.4838709677419355,0.0967741935483871
64,23,32,7.5258000000152e-06,0.4838709677419355,0.0967741935483871
65,23,36,9.352583333566145e-06,0.4838709677419355,0.0967741935483871
66,15,40,0.44766918506666875,0.4838709677419355,0.0967741935483871
67,19,40,8.99956666747433e-06,0.4838709677419355,0.0967741935483871
68,23,40,8.277183333878686e-06,0.4838709677419355,0.0967741935483871
69,3,44,0.48726994758333525,0.46774193548387094,0.09354838709677418
70,7,44,7.720233334869893e-06,0.4838709677419355,0.0967741935483871
71,7,48,9.311000000404117e-06,0.4838709677419355,0.0967741935483871
72,7,52,7.711616664588897e-06,0.4838709677419355,0.0967741935483871
73,17,42,0.4747536775999985,0.4838709677419355,0.0967741935483871
74,21,42,8.948266668085125e-06,0.4838709677419355,0.0967741935483871
75,25,34,8.321333333090782e-06,0.4838709677419355,0.0967741935483871
76,25,38,8.649400001559115e-06,0.4838709677419355,0.0967741935483871
77,25,42,9.429183330667002e-06,0.4838709677419355,0.0967741935483871
78,5,42,7.154733335331306e-06,0.4838709677419355,0.0967741935483871
79,9,42,7.717966665647206e-06,0.4838709677419355,0.0967741935483871
80,9,46,7.7901833302955e-06,0.4838709677419355,0.0967741935483871
81,9,50,7.759683334522076e-06,0.4838709677419355,0.0967741935483871
82,5,54,7.872833335416847e-06,0.4838709677419355,0.0967741935483871
83,9,54,8.583799998026128e-06,0.4838709677419355,0.0967741935483871
84,11,44,8.917700002560499e-06,0.4838709677419355,0.0967741935483871
85,11,48,7.85975000023124e-06,0.4838709677419355,0.0967741935483871
86,11,52,8.54941666451244e-06,0.4838709677419355,0.0967741935483871
87,3,56,0.6227194764499965,0.4838709677419355,0.0967741935483871
88,7,56,8.324083330535359e-06,0.4838709677419355,0.0967741935483871
89,11,56,8.322049999757534e-06,0.4838709677419355,0.0967741935483871
90,5,58,0.7411905953333341,0.46774193548387094,0.09354838709677418
91,9,58,9.546683331033516e-06,0.4838709677419355,0.0967741935483871
92,13,46,8.044250000693864e-06,0.4838709677419355,0.0967741935483871
93,13,50,8.49991666503532e-06,0.4838709677419355,0.0967741935483871
94,13,54,9.039250001781813e-06,0.4838709677419355,0.0967741935483871
95,13,58,9.025116666331693e-06,0.4838709677419355,0.0967741935483871
96,7,60,0.7009728233666654,0.45161290322580644,0.09032258064516129
97,11,60,9.38261666760809e-06,0.4838709677419355,0.0967741935483871
98,15,56,1.0217549997075063e-05,0.4838709677419355,0.0967741935483871
99,15,60,9.759666666771711e-06,0.4838709677419355,0.0967741935483871
100,9,62,0.6222007273833318,0.4838709677419355,0.0967741935483871
101,13,62,9.416766666466476e-06,0.4838709677419355,0.0967741935483871
102,17,54,9.446649998305172e-06,0.4838709677419355,0.0967741935483871
103,17,58,9.127316665550704e-06,0.4838709677419355,0.0967741935483871
104,17,62,9.469783333315717e-06,0.4838709677419355,0.0967741935483871
105,11,64,0.7812311560666672,0.4838709677419355,0.0967741935483871
106,15,64,1.1350283333892245e-05,0.4838709677419355,0.0967741935483871
107,19,56,9.124466669163666e-06,0.4838709677419355,0.0967741935483871
108,19,60,9.595533333595085e-06,0.4838709677419355,0.0967741935483871
109,19,64,1.0142666667434241e-05,0.4838709677419355,0.0967741935483871
110,13,66,0.7349868906333313,0.4838709677419355,0.0967741935483871
111,17,66,9.945716666000711e-06,0.4838709677419355,0.0967741935483871
112,21,54,9.340999997675681e-06,0.4838709677419355,0.0967741935483871
113,21,58,1.0838516664080089e-05,0.4838709677419355,0.0967741935483871
114,21,62,1.0440383334753278e-05,0.4838709677419355,0.0967741935483871
115,21,66,1.0501650001515372e-05,0.4838709677419355,0.0967741935483871
116,15,68,0.7699206005666687,0.4838709677419355,0.0967741935483871
117,19,68,1.0473733330703302e-05,0.4838709677419355,0.0967741935483871
118,23,56,9.363083332421714e-06,0.4838709677419355,0.0967741935483871
119,23,60,9.70628333334389e-06,0.4838709677419355,0.0967741935483871
120,23,64,1.0027566664424134e-05,0.4838709677419355,0.0967741935483871
121,23,68,1.0123199998209504e-05,0.4838709677419355,0.0967741935483871
122,17,70,0.7629976710666673,0.4838709677419355,0.0967741935483871
123,21,70,1.0613950000030551e-05,0.4838709677419355,0.0967741935483871
124,25,58,9.572499997527e-06,0.4838709677419355,0.0967741935483871
125,25,62,9.864183330895079e-06,0.4838709677419355,0.0967741935483871
126,25,66,1.0138449999885779e-05,0.4838709677419355,0.0967741935483871
127,25,70,1.1349233333627733e-05,0.4838709677419355,0.0967741935483871
128,19,72,0.7549488377000027,0.4838709677419355,0.0967741935483871
129,23,72,1.1625333331721777e-05,0.4838709677419355,0.0967741935483871
130,27,60,1.0375066669136383e-05,0.4838709677419355,0.0967741935483871
131,27,64,1.1301666665985976e-05,0.4838709677419355,0.0967741935483871
132,27,68,1.034306666648869e-05,0.4838709677419355,0.0967741935483871
133,27,72,1.0742049998195095e-05,0.4838709677419355,0.0967741935483871
134,21,74,0.8147053472166665,0.4838709677419355,0.0967741935483871
135,25,74,1.2145516666350887e-05,0.4838709677419355,0.0967741935483871
136,29,62,1.0601599998002105e-05,0.4838709677419355,0.0967741935483871
137,29,66,1.0734583330910633e-05,0.4838709677419355,0.0967741935483871
138,29,70,1.113706666728831e-05,0.4838709677419355,0.0967741935483871
139,29,74,1.1328849999851325e-05,0.4838709677419355,0.0967741935483871
140,23,76,0.8018073811500017,0.4838709677419355,0.0967741935483871
141,27,76,1.1811983335974219e-05,0.4838709677419355,0.0967741935483871
142,31,64,1.0478500000014416e-05,0.4838709677419355,0.0967741935483871
143,31,68,1.1167316665705585e-05,0.4838709677419355,0.0967741935483871
144,31,72,1.1581149999528862e-05,0.4838709677419355,0.0967741935483871
145,31,76,1.3519333333533722e-05,0.4838709677419355,0.0967741935483871
146,25,78,0.7675736963833325,0.4838709677419355,0.0967741935483871
147,29,78,1.1852099999032361e-05,0.4838709677419355,0.0967741935483871
148,33,66,1.1070266665077117e-05,0.4838709677419355,0.0967741935483871
149,33,70,1.1012566668947935e-05,0.4838709677419355,0.0967741935483871
150,33,74,1.3217366669474965e-05,0.4838709677419355,0.0967741935483871
151,33,78,1.1705633335168386e-05,0.4838709677419355,0.0967741935483871
152,27,80,0.7938948393500027,0.4838709677419355,0.0967741935483871
153,31,80,1.226309999916945e-05,0.4838709677419355,0.0967741935483871
154,35,68,1.1343450000822487e-05,0.4838709677419355,0.0967741935483871
155,35,72,1.2634500001240667e-05,0.4838709677419355,0.0967741935483871
156,35,76,1.2388483332870237e-05,0.4838709677419355,0.0967741935483871
157,35,80,1.2233533334438107e-05,0.4838709677419355,0.0967741935483871
158,29,82,0.7841927289999983,0.4838709677419355,0.0967741935483871
159,33,82,1.2323183333743752e-05,0.4838709677419355,0.0967741935483871
160,37,70,1.160571666408335e-05,0.4838709677419355,0.0967741935483871
161,37,74,1.1714833332613732e-05,0.4838709677419355,0.0967741935483871
162,37,78,1.2826016666167562e-05,0.4838709677419355,0.0967741935483871
163,37,82,1.2224583334348912e-05,0.4838709677419355,0.0967741935483871
164,31,84,0.8090340752000013,0.4838709677419355,0.0967741935483871
165,35,84,1.2361949999710002e-05,0.4838709677419355,0.0967741935483871
166,39,72,1.1149600004500826e-05,0.4838709677419355,0.0967741935483871
167,39,76,1.2267649996526112e-05,0.4838709677419355,0.0967741935483871
168,39,80,1.1824049996297012e-05,0.4838709677419355,0.0967741935483871
169,39,84,1.23091666637265e-05,0.4838709677419355,0.0967741935483871
170,33,86,0.7941839529833336,0.4838709677419355,0.0967741935483871
171,37,86,1.321501667158979e-05,0.4838709677419355,0.0967741935483871
172,41,74,1.224283332703635e-05,0.4838709677419355,0.0967741935483871
173,41,78,1.1973066663510206e-05,0.4838709677419355,0.0967741935483871
174,41,82,1.361689999915446e-05,0.4838709677419355,0.0967741935483871
175,41,86,1.3024650002080307e-05,0.4838709677419355,0.0967741935483871
176,35,88,2.664556658483328,0.4838709677419355,0.0967741935483871
177,39,88,1.304665000437429e-05,0.4838709677419355,0.0967741935483871
178,43,76,1.23928666653228e-05,0.4838709677419355,0.0967741935483871
179,43,80,1.2574949998149047e-05,0.4838709677419355,0.0967741935483871
180,43,84,1.298643333787671e-05,0.4838709677419355,0.0967741935483871
181,43,88,1.3099050003499238e-05,0.4838709677419355,0.0967741935483871
182,37,90,3.6793977534499995,0.4838709677419355,0.0967741935483871
183,41,90,1.2917683337339743e-05,0.4838709677419355,0.0967741935483871
184,45,78,1.2345033330044922e-05,0.4838709677419355,0.0967741935483871
185,45,82,1.2405616666910646e-05,0.4838709677419355,0.0967741935483871
186,45,86,1.506239999950291e-05,0.4838709677419355,0.0967741935483871
187,45,90,2.5126183330333637e-05,0.4838709677419355,0.0967741935483871
188,39,92,0.7380746352499955,0.4838709677419355,0.0967741935483871
189,43,92,1.3192549999985204e-05,0.4838709677419355,0.0967741935483871
190,47,80,1.2330866669193104e-05,0.4838709677419355,0.0967741935483871
191,47,84,1.2813116662376463e-05,0.4838709677419355,0.0967741935483871
192,47,88,1.6003066669630546e-05,0.4838709677419355,0.0967741935483871
193,47,92,1.5020650001436783e-05,0.4838709677419355,0.0967741935483871
194,41,94,0.7999903986166677,0.4838709677419355,0.0967741935483871
195,45,94,1.352211666774868e-05,0.4838709677419355,0.0967741935483871
196,49,82,1.5281833331452314e-05,0.4838709677419355,0.0967741935483871
197,49,86,1.3274916667190457e-05,0.4838709677419355,0.0967741935483871
198,49,90,1.3137866668936718e-05,0.4838709677419355,0.0967741935483871
199,49,94,1.3536866663343972e-05,0.4838709677419355,0.0967741935483871
200,43,96,0.8151583727666699,0.4838709677419355,0.0967741935483871
201,47,96,1.3605483331957657e-05,0.4838709677419355,0.0967741935483871
202,51,84,1.3227816672648866e-05,0.4838709677419355,0.0967741935483871
203,51,88,1.5416250001483907e-05,0.4838709677419355,0.0967741935483871
204,51,92,1.3657050006562107e-05,0.4838709677419355,0.0967741935483871
