id,k,alpha,time,acc,score
1,102,1300,2.72739669445,0.4932270916334661,0.09864541832669323
2,101,1295,2.8220542940166666,0.45705179282868524,0.09141035856573705
3,101,1305,2.769216512316667,0.5311553784860558,0.10623107569721116
4,103,1295,0.6853464434666667,0.4556175298804781,0.09112350597609561
5,103,1305,0.6894820323499989,0.5322709163346614,0.10645418326693228
6,102,1310,2.7444334113166673,0.5695617529880478,0.11391235059760955
7,104,1300,0.538987391083333,0.49338645418326693,0.09867729083665339
8,104,1310,0.679100259183332,0.5657370517928287,0.11314741035856575
9,101,1315,2.653603872016667,0.49338645418326693,0.09867729083665339
10,103,1315,0.5594682195666659,0.4937051792828685,0.0987410358565737
