id,k,alpha,time,acc,score
1,101,600,1.22407430505,0.5590438247011952,0.11180876494023903
2,100,595,1.1422583524666667,0.5625498007968127,0.11250996015936254
3,100,605,1.2068982293,0.5601593625498008,0.11203187250996016
4,102,595,0.5671705710000002,0.561593625498008,0.11231872509960159
5,102,605,0.6270033259666666,0.5606374501992032,0.11212749003984064
6,99,590,1.2952659068666663,0.560796812749004,0.11215936254980079
7,99,600,0.6255669825333333,0.56,0.11200000000000002
8,101,590,0.5863902125166666,0.5646215139442231,0.11292430278884462
9,100,585,1.2142871990833328,0.5604780876494024,0.11209561752988048
10,102,585,0.4850671481833331,0.5598406374501992,0.11196812749003984
