id,k,alpha,time,acc,score
1,200,30,0.12899273295,0.48,0.096
2,180,28,0.13112219783333334,0.51,0.10200000000000001
3,180,32,0.1348764678333333,0.51,0.10200000000000001
4,220,28,0.000493679983333332,0.52,0.10400000000000001
5,220,32,0.0005779694666666539,0.53,0.10600000000000001
6,200,34,0.1406773941166667,0.51,0.10200000000000001
7,240,30,0.0005296345833333049,0.52,0.10400000000000001
8,240,34,0.0005704313999999044,0.55,0.11000000000000001
9,220,36,0.14009705200000003,0.53,0.10600000000000001
10,260,32,0.0005808638999999023,0.52,0.10400000000000001
11,260,36,0.000611726016666599,0.52,0.10400000000000001
