id,k,alpha,time,acc,score
1,300,50,0.16889189826666667,0.43,0.086
2,280,48,0.14986446358333338,0.45,0.09
3,280,52,0.15916356706666673,0.49,0.098
4,320,48,0.0008650729666666024,0.44,0.088
5,320,52,0.0009351187000000039,0.49,0.098
6,300,54,0.16820019790000001,0.48,0.096
7,340,50,0.0008949519666667053,0.46,0.092
8,340,54,0.0009743630666665837,0.51,0.10200000000000001
9,320,56,0.17859596166666664,0.46,0.092
10,360,52,0.0009231427666667476,0.52,0.10400000000000001
11,360,56,0.0009770962666666586,0.44,0.088
12,380,50,0.0009267968166666899,0.47,0.094
13,380,54,0.0009818856000000172,0.49,0.098
