n,k,alpha,acc
311,10,100,0.5643027888446215
311,50,100,0.5525099601593626
311,150,100,0.5405577689243027
311,100,10,0.5657370517928287
311,100,20,0.570199203187251
311,100,50,0.5628685258964143
622,10,100,0.5556972111553785
622,50,100,0.5759362549800797
622,150,100,0.5956972111553784
622,100,10,0.5356175298804781
622,100,20,0.5665338645418326
622,100,50,0.5756175298804781
933,10,100,0.5810358565737052
933,50,100,0.6039840637450199
933,150,100,0.6256573705179282
933,100,10,0.5698804780876494
933,100,20,0.5934661354581673
933,100,50,0.610199203187251
1245,10,100,0.589003984063745
1245,50,100,0.6082868525896414
1245,150,100,0.619601593625498
1245,100,10,0.5813545816733068
1245,100,20,0.5891633466135459
1245,100,50,0.6079681274900398
1556,10,100,0.6057370517928287
1556,50,100,0.6342629482071713
1556,150,100,0.6530677290836654
1556,100,10,0.5808764940239044
1556,100,20,0.610996015936255
1556,100,50,0.6423904382470119
1867,10,100,0.5976095617529881
1867,50,100,0.6269322709163346
1867,150,100,0.6278884462151394
1867,100,10,0.5652589641434262
1867,100,20,0.6027091633466135
1867,100,50,0.6237450199203187
2178,10,100,0.6017529880478087
2178,50,100,0.6261354581673306
2178,150,100,0.6245418326693227
2178,100,10,0.5687649402390438
2178,100,20,0.5969721115537848
2178,100,50,0.6205577689243028
2490,10,100,0.6095617529880478
2490,50,100,0.6334661354581673
2490,150,100,0.6403187250996016
2490,100,10,0.5826294820717132
2490,100,20,0.6004780876494024
2490,100,50,0.6259760956175299
2801,10,100,0.6121115537848606
2801,50,100,0.6288446215139443
2801,150,100,0.6406374501992032
2801,100,10,0.5834262948207172
2801,100,20,0.6014342629482071
2801,100,50,0.6350597609561753
3112,10,100,0.6140239043824701
3112,50,100,0.6253386454183267
3112,150,100,0.6388844621513944
3112,100,10,0.5751394422310757
3112,100,20,0.6036653386454184
3112,100,50,0.627410358565737
3423,10,100,0.607808764940239
3423,50,100,0.6404780876494024
3423,150,100,0.650996015936255
3423,100,10,0.5861354581673307
3423,100,20,0.6011155378486056
3423,100,50,0.6438247011952192
3735,10,100,0.6149800796812749
3735,50,100,0.6463745019920318
3735,150,100,0.654820717131474
3735,100,10,0.5845418326693227
3735,100,20,0.610199203187251
3735,100,50,0.6441434262948207
4046,10,100,0.6152988047808765
4046,50,100,0.6422310756972112
4046,150,100,0.6403187250996016
4046,100,10,0.5864541832669322
4046,100,20,0.607011952191235
4046,100,50,0.6441434262948207
4357,10,100,0.6184860557768924
4357,50,100,0.6465338645418327
4357,150,100,0.6492430278884462
4357,100,10,0.5843824701195219
4357,100,20,0.6044621513944223
4357,100,50,0.6474900398406375
4668,10,100,0.6216733067729083
4668,50,100,0.6522709163346614
4668,150,100,0.6524302788844621
4668,100,10,0.5842231075697211
4668,100,20,0.607808764940239
4668,100,50,0.6470119521912351
4980,10,100,0.6221513944223107
4980,50,100,0.6567330677290837
4980,150,100,0.6572111553784861
4980,100,10,0.5831075697211155
4980,100,20,0.612589641434263
4980,100,50,0.6497211155378486
5291,10,100,0.6247011952191235
5291,50,100,0.6524302788844621
5291,150,100,0.6581673306772908
5291,100,10,0.5877290836653386
5291,100,20,0.6106772908366533
5291,100,50,0.6503585657370518
5602,10,100,0.627410358565737
5602,50,100,0.6602390438247012
5602,150,100,0.6597609561752988
5602,100,10,0.589800796812749
5602,100,20,0.6138645418326694
5602,100,50,0.6581673306772908
5913,10,100,0.6269322709163346
5913,50,100,0.6521115537848605
5913,150,100,0.6519521912350598
5913,100,10,0.5896414342629482
5913,100,20,0.6087649402390438
5913,100,50,0.651792828685259
311,10,100,0.5760956175298805
311,50,100,0.6079681274900398
311,150,100,0.6022310756972111
311,100,10,0.5555378486055776
311,100,20,0.5770517928286852
311,100,50,0.5926693227091634
622,10,100,0.5850199203187251
622,50,100,0.612589641434263
622,150,100,0.613386454183267
622,100,10,0.5622310756972112
622,100,20,0.5851792828685259
622,100,50,0.61800796812749
933,10,100,0.5910756972111554
933,50,100,0.6250199203187251
933,150,100,0.6344223107569721
933,100,10,0.570199203187251
933,100,20,0.5853386454183267
933,100,50,0.6251792828685259
1245,10,100,0.6025498007968128
1245,50,100,0.621195219123506
1245,150,100,0.630597609561753
1245,100,10,0.5824701195219123
1245,100,20,0.5909163346613546
1245,100,50,0.6203984063745019
1556,10,100,0.6001593625498008
1556,50,100,0.6269322709163346
1556,150,100,0.6439840637450199
1556,100,10,0.5709960159362549
1556,100,20,0.600796812749004
1556,100,50,0.6259760956175299
1867,10,100,0.6043027888446215
1867,50,100,0.6430278884462152
1867,150,100,0.6538645418326693
1867,100,10,0.5716334661354582
1867,100,20,0.6074900398406374
1867,100,50,0.6417529880478088
2178,10,100,0.6092430278884462
2178,50,100,0.6454183266932271
2178,150,100,0.6602390438247012
2178,100,10,0.5714741035856574
2178,100,20,0.6242231075697211
