,k,acc,time_predict
0,1,0.5499601593625498,28.504481810996367
1,101,0.633784860557769,29.319688767995103
2,201,0.6223107569721116,29.405527822003933
3,301,0.6149800796812749,29.635249031998683
4,401,0.6138645418326694,29.66160437099461
5,501,0.6162549800796813,29.744251506999717
6,601,0.617211155378486,29.933485302994086
7,701,0.6141832669322709,29.91763592600182
8,801,0.61800796812749,29.99306477999926
9,901,0.6226294820717132,32.06588583099801
10,1001,0.6275697211155379,32.20627827000135
11,1101,0.6377689243027889,30.875983010999335
12,1201,0.6489243027888446,30.866292689999682
13,1301,0.6583266932270916,30.756147571999463
14,1401,0.6648605577689243,31.333282792002137
15,1501,0.6685258964143427,30.903042066005582
16,1601,0.6702788844621514,31.08673012300278
17,1701,0.6749003984063745,31.99740168199787
18,1801,0.6795219123505976,35.15650644699781
19,1901,0.6763346613545816,34.30045621099998
20,2001,0.6696414342629482,35.40539637800248
21,2101,0.6618326693227091,31.895511476002866
22,2201,0.650199203187251,31.134530062998238
23,2301,0.6412749003984064,31.618383438995807
24,2401,0.6363346613545817,31.909819120002794
25,2501,0.6262948207171315,33.25453921199369
26,2601,0.616414342629482,34.46953126099834
27,2701,0.6090836653386454,33.997798276999674
28,2801,0.5984063745019921,31.640946936997352
29,2901,0.591394422310757,31.25466298199899
0,1,0.5499601593625498,28.714339637001103
1,11,0.6103585657370518,29.09647598999436
2,21,0.6272509960159363,29.105439275997924
3,31,0.6368127490039841,29.228930937999394
4,41,0.6414342629482072,29.174483230999613
5,51,0.6412749003984064,29.206036847004725
6,61,0.639203187250996,29.28279056500469
7,71,0.6396812749003984,29.327298039002926
8,81,0.639203187250996,29.26208128700091
9,91,0.6358565737051792,29.45192541599681
10,101,0.633784860557769,29.29215872900386
11,111,0.6333067729083666,29.48969604100421
12,121,0.6307569721115538,29.394608441005403
13,131,0.629003984063745,29.446109359996626
14,141,0.628207171314741,29.522333352993883
15,151,0.6264541832669323,29.527440404999652
16,161,0.6250199203187251,29.508547766003176
17,171,0.6262948207171315,29.4746039390011
18,181,0.6256573705179282,29.518778064004437
19,191,0.6247011952191235,29.542516925997916
0,1700,0.6736254980079681,30.44224265599769
1,1710,0.6742629482071714,30.205174177994195
2,1720,0.6769721115537849,30.071517930999107
3,1730,0.678406374501992,30.130101543996716
4,1740,0.6766533864541833,30.155107926999335
5,1750,0.6787250996015937,31.081909690998145
6,1760,0.679203187250996,30.46576336200087
7,1770,0.677609561752988,30.465116437997494
8,1780,0.6766533864541833,30.463910597994982
9,1790,0.679203187250996,30.465447991002293
10,1800,0.6803187250996016,30.39857263200247
11,1810,0.6803187250996016,30.64648894900165
12,1820,0.6798406374501992,30.983608142996673
13,1830,0.6827091633466136,30.748719888004416
14,1840,0.6822310756972112,30.530243278000853
15,1850,0.6806374501992032,30.589512153004762
16,1860,0.6779282868525897,30.478901417001907
17,1870,0.6782470119521913,30.48367312100163
18,1880,0.6782470119521913,30.658899239002494
19,1890,0.6750597609561753,30.559186038000917
0,1820,0.6798406374501992,30.82678410600056
1,1821,0.6795219123505976,30.3738928879975
2,1822,0.6806374501992032,30.411639650003053
3,1823,0.6804780876494024,30.469633018998138
4,1824,0.6806374501992032,30.463232139001775
5,1825,0.6822310756972112,30.42365718200017
6,1826,0.6849402390438247,30.419245976001548
7,1827,0.6830278884462151,30.535903265001252
8,1828,0.6817529880478088,30.458629444998223
9,1829,0.6825498007968127,30.463642869995965
10,1830,0.6827091633466136,30.51128919799521
11,1831,0.6822310756972112,30.67848485399736
12,1832,0.6828685258964143,30.414380442001857
13,1833,0.6838247011952191,30.497923807997722
14,1834,0.6838247011952191,30.53501831900212
15,1835,0.6827091633466136,30.40445942000224
