,acc,alpha,k,n_train,time_fit,time_predict
0,0.6576892430278884,100,100,5913,0.0002690089999999312,12.168094692999999
1,0.6591235059760956,100,100,5602,5.316100000030133e-05,12.179184184000004
2,0.6492430278884462,100,100,5291,5.87729999992348e-05,12.991136991000005
3,0.6506772908366534,100,100,4980,5.422099999918828e-05,12.096861279999999
4,0.6519521912350598,100,100,4668,5.950399999221645e-05,11.147217423
5,0.6506772908366534,100,100,4357,6.37949999884313e-05,10.214000604000006
6,0.6511553784860558,100,100,4046,6.328399999233625e-05,10.397973928999988
7,0.6419123505976095,100,100,3735,5.586499997889405e-05,11.383446712999984
8,0.654820717131474,100,100,3423,5.515500001251894e-05,9.794353122000018
9,0.6369721115537849,100,100,3112,5.6727999975692e-05,9.730627476999985
10,0.640796812749004,100,100,2801,5.427700000382174e-05,8.620849536999998
11,0.6443027888446216,100,100,2490,6.520300001966461e-05,7.3855141680000145
12,0.6478087649402391,100,100,2178,0.00025138499999999286,8.530418195000001
13,0.6229482071713147,100,100,1867,5.817699999965953e-05,7.535973848000001
14,0.6242231075697211,100,100,1556,5.635599999820329e-05,6.995647649000002
15,0.6148207171314741,100,100,1245,5.724800000450614e-05,7.209357288
16,0.6296414342629482,100,100,933,6.99280000020508e-05,4.545466548999997
17,0.6272509960159363,100,100,622,5.648299999450046e-05,3.908096255000004
18,0.5853386454183267,100,100,311,6.0310999998591797e-05,3.8530662619999916
19,0.651792828685259,100,100,5913,6.552800000747538e-05,12.303223113000001
20,0.6543426294820717,100,100,5602,5.810300000064217e-05,11.64913960700001
21,0.6505179282868526,100,100,5291,5.7686000005219285e-05,13.263870124999997
22,0.6545019920318725,100,100,4980,6.550000000515865e-05,11.403705852000002
23,0.6490836653386454,100,100,4668,5.73570000028667e-05,11.189047587999994
24,0.6564143426294821,100,100,4357,0.00029476900000002804,10.296420032
25,0.6545019920318725,100,100,4046,5.995500000111065e-05,10.560317302000001
26,0.6530677290836654,100,100,3735,5.8279999997523646e-05,10.850571319000004
27,0.64,100,100,3423,6.94180000095912e-05,9.982178094000005
28,0.6341035856573706,100,100,3112,5.743199999130866e-05,9.667240371999995
29,0.6538645418326693,100,100,2801,6.587200000751636e-05,10.635531024000002
30,0.6519521912350598,100,100,2490,6.775399999980891e-05,10.013312047999989
31,0.6361752988047809,100,100,2178,6.785900001204936e-05,7.951912534000002
32,0.6438247011952192,100,100,1867,7.807400001524911e-05,8.170688151000007
33,0.6543426294820717,100,100,1556,6.486899999913476e-05,5.634618155999988
34,0.6356972111553785,100,100,1245,5.726400002004084e-05,7.759314339999975
35,0.6251792828685259,100,100,933,5.825300002015865e-05,3.8112692299999935
36,0.6127490039840637,100,100,622,0.00023271099999999656,3.5588194339999997
37,0.552988047808765,100,100,311,6.44530000002419e-05,3.4764597029999997
38,0.6533864541832669,100,100,5913,6.818499999994287e-05,12.896872634
39,0.6586454183266932,100,100,5602,6.264099999953032e-05,12.792524707999995
40,0.6530677290836654,100,100,5291,6.039500000554199e-05,12.882477369
41,0.6541832669322709,100,100,4980,6.735300000570987e-05,12.038827021999992
42,0.6479681274900398,100,100,4668,5.785000000457785e-05,12.440863532000009
43,0.6474900398406375,100,100,4357,7.031499998788604e-05,11.965702149999998
44,0.6470119521912351,100,100,4046,6.58699999860346e-05,9.787486385000022
